MarketCode,MarketName,StateCode,StateName,CountyCode,CountyName,TractCode,BlockGroupCode,Latitude,Longitude,True Owner,ManagementCompany,ProjID,Submarket,Name,Address,City,State,Zip,Phone,YearBuilt,Quantity,AreaPerUnit,Level,Status,Estimated_Property_Size,Avg_Effective_Rent,Avg_Effective_Rent_Per_SqFt,Avg_Occupancy,Avg_Occupancy_During_Lease_Up,Avg_Concession,Lease_Up_Months,Market_Grade_Avg,SubMarket_Grade_Avg,Property_Age,PAS_normalized,RI,PTI,Cluster,Cluster_Category
12420,"Austin-Round Rock, TX",TX,Texas,453,Travis,305,2,30.30917,-97.72881,Privately Owned,MILLER PROPERTIES ,10031809,Near North Austin,108 Place,108 W 45th St,Austin,TX,78751,5123740166,1973,30,603,3,S,6030.0,938.4040404040404,1.5562256059768491,0.9847676767676764,0.0,0.0505050505050505,0.0,3.0,4.0,47,0.4418604651162791,0.0,2.488372093023256,4,Value-Oriented Stable Assets
12420,"Austin-Round Rock, TX",TX,Texas,453,Travis,1716,2,30.36687,-97.79303,Cardone Acquisitions Capital,Weller Management,14466,Far West Austin,10X Living at Grandview,6500 Champion Grandview Way,Austin,TX,78750,8448238116,2005,458,1065,4,S,121942.5,1390.9066666666668,1.30601564945227,0.9332066666666666,0.0,9.786666666666669,0.0,5.0,3.5,15,0.813953488372093,0.0,3.2127906976744183,0,High-End New Developments
12420,"Austin-Round Rock, TX",TX,Texas,453,Travis,1860,2,30.45009,-97.64873,Castle Lanterra Properties,Lincoln Property Company,89519,Pflugerville/Wells Branch,1825 Cottages,1001 Nimbus Dr,Pflugerville,TX,78660,5122523500,1985,104,750,2,S,39000.0,928.7539682539684,1.238338624338624,0.9214841269841272,0.0,7.317460317460317,0.0,3.5,3.0,35,0.5813953488372092,0.0,2.416279069767442,4,Value-Oriented Stable Assets
12420,"Austin-Round Rock, TX",TX,Texas,453,Travis,604,3,30.28462,-97.74723,Texla Housing Partners,Texla Housing Partners,43056,Downtown/University,21 Pearl,911 W 21st St,Austin,TX,78705,5124730808,2013,135,772,5,S,20844.0,1784.453488372093,2.3114682491866545,0.9892325581395348,0.0,0.0,0.0,3.5,5.0,7,0.9069767441860466,0.0,3.0813953488372094,0,High-End New Developments
12420,"Austin-Round Rock, TX",TX,Texas,491,Williamson,20312,2,30.57164,-97.87028,NE Property Management,NE Property Management,10255043,Cedar Park,22 North Apartments,149 S Bagdad Rd,Leander,TX,78641,5129868727,2018,240,1098,3,S,87840.0,1349.9444444444443,1.2294575996761803,0.8462,0.8462,30.555555555555557,5.0,3.0,2.0,2,0.9651162790697676,0.0,1.9930232558139536,0,High-End New Developments
12420,"Austin-Round Rock, TX",TX,Texas,453,Travis,1605,4,30.28147,-97.75801,Rainier Properties,Rainier Properties,10029492,Downtown/University,24 Flats,1515 Palma Plaza,Austin,TX,78703,5124440687,1974,24,700,2,S,8400.0,1123.142857142857,1.6044897959183684,0.94835,0.0,0.45,0.0,3.0,5.0,46,0.4534883720930233,0.0,2.7906976744186047,4,Value-Oriented Stable Assets
12420,"Austin-Round Rock, TX",TX,Texas,491,Williamson,20113,1,30.65366,-97.67532,GVA Property Management,GVA Property Management,10018608,Round Rock/Georgetown,302 North,302 Apple Creek Dr,Georgetown,TX,78626,5128691007,1987,174,679,2,S,59073.0,768.2933333333333,1.1315071183112424,0.9628866666666668,0.0,1.0333333333333334,0.0,3.0,3.0,33,0.6046511627906976,0.0,2.2209302325581395,4,Value-Oriented Stable Assets
12420,"Austin-Round Rock, TX",TX,Texas,453,Travis,401,2,30.29278,-97.72542,Horizon Realty Advisors,Horizon Realty Advisors,50371,Downtown/University,3401 at Red River,3401 Red River St,Austin,TX,78705,5124789775,1972,138,627,3,S,28842.0,1025.2666666666669,1.635194045720361,0.96192,0.0,13.34,0.0,2.5,5.0,48,0.4302325581395348,1.0,2.686046511627907,1,Stable Established Properties
12420,"Austin-Round Rock, TX",TX,Texas,453,Travis,1912,1,30.33318,-97.80856,JP Morgan,Greystar,19148,Southwest Austin,3500 Westlake,3500 N Capital of Texas Hwy,Austin,TX,78746,5123274111,2008,175,1155,3,S,67375.0,1654.78,1.4327099567099562,0.7486923076923075,0.7486923076923075,34.52,13.0,4.0,4.0,12,0.8488372093023255,0.0,2.9697674418604647,0,High-End New Developments
12420,"Austin-Round Rock, TX",TX,Texas,491,Williamson,21504,1,30.56735,-97.68462,Starlight Investments,Starlight Investments,19169,Round Rock/Georgetown,401 Teravista,401 Teravista Pkwy,Round Rock,TX,78665,5129305577,2008,320,925,3,S,98666.66666666669,1049.8666666666666,1.1349909909909912,0.90578,0.0,26.026666666666667,0.0,4.5,2.5,12,0.8488372093023255,1.0,2.819767441860465,1,Stable Established Properties
